# fixture	sha256	sizeBytes	targetPlugin	timeoutMs	maxOutputBytes	classification	phase	failureCode	exitCode
success	b4a4d3786ffe84b2b6be9789f9dc4171b8870c570b821e4521ea963771ecd69d	1069	ProvenanceSuccess	150000	262144	passed	completed	-	0
command-success	977d74e6e3f9c959f58de6f12960d02ba78bd32ae0e02f7db1a3844f5a18d706	1281	ProvenanceCommandSuccess	150000	262144	passed	completed	-	0
on-load-failure	35106732c959756bd4d7e1b9a41a69c774cad0ce015e9b5b38b4981b7491be1a	1186	ProvenanceOnLoadFailure	150000	262144	workload_failure	collection	on_load_failure	0
on-enable-failure	2bca398ff8f30e505a3f92ed8204f9d52874f537d6ab94fb221b3ea6f00074d3	1192	ProvenanceOnEnableFailure	150000	262144	workload_failure	collection	on_enable_failure	0
missing-dependency	3b4468125deca2b84ea000229a7cda40be298cd4b7f7e032ba26e0b97f5d84b8	1127	ProvenanceMissingDependency	150000	262144	workload_failure	collection	missing_required_dependency	0
command-assertion-failure	7d472b106122a994d07cf193484b50f747913efbbf41b3b18124681680d27b0e	1333	ProvenanceCommandAssertionFailure	150000	262144	workload_failure	collection	command_assertion_failure	0
enable-hang	fe0fd91fa5622123c07ccda1f687c4a2eae39658d926526d9b60d8497154a517	1618	ProvenanceEnableHang	150000	262144	timed_out	execution	job_timeout	-1
process-exit	56628987638e11ebda447a2348da87189de22882248e5584745d6e6ac840dcea	1530	ProvenanceProcessExit	150000	262144	workload_failure	execution	gvisor_process_exit_nonzero	17
memory-bomb	3014412fe9247cc4f2eda6fd69abb36d14da2b0076fa2469586f674efd843b78	1840	ProvenanceMemoryBomb	150000	262144	workload_failure	execution	gvisor_process_exit_nonzero	137
fork-pid-bomb	2283293d4dc52423c4d25c1c4f36e43174c05c58793ff0e91b1d097d2d0a3ab2	7648	ProvenanceForkPidBomb	180000	262144	passed	completed	-	0
disk-fill	a9be4461514ec0a81b6b0b4744871e286f3047563b494af16f89428a72345780	2271	ProvenanceDiskFill	150000	262144	timed_out	execution	job_timeout	-1
network-scan	7d87b753d8ad1ef1946314e7add20afc242dc1304dd00d433c1568fc5ffa5e4d	2234	ProvenanceNetworkScan	150000	262144	passed	completed	-	0
metadata-endpoint	5ab1b9821ddcd204da292367c58bf830d5393527f39c212fef9dbd0ceea3fc9b	1796	ProvenanceMetadataEndpoint	150000	262144	passed	completed	-	0
log-flood	baab294f640dfa02787f0bf94e6fbba45f936344517c52a5d2dc67754345fcbf	1945	ProvenanceLogFlood	150000	65536	passed	completed	-	0
